Duncan,Tim,pf,25,0,49,1
Parker,Tony,pg,27,37,49,7
Diaw,Boris,c,17,40,55,19
Leonard,Kawhi,sf,18,38,58,28
Ginobli,Manu,sg,25,35,55,41
