James,LeBron,sf,31,38,62,23
Bosh,Chris,pf,23,34,57,23
Chalmers,Mario,pg,17,39,50,40
Wade,Dwyane,sg,28,28,56,4
Haslem,Udonis,c,14,0,51,0
